,TransactionAmt,TransactionDT,ProductCD,card1,card2,card3,card4,card5,card6,addr1,addr2,dist1,P_emaildomain,R_emaildomain,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,D1,D2,D3,D4,D5,D10,D11,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V307,V308,V309,V310
1373,92.0,132404,W,5613,413.0,150.0,visa,166.0,debit,184.0,87.0,,gmail.com,,5.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,20.0,5.0,93.0,93.0,0.0,122.0,0.0,303.0,,75.0,75.0,0.0,0.0,0.0,75.0,75.0,75.0,0.0,0.0,0.0,,75.0,75.0,0.0,0.0
8728,39.0,257095,W,1522,208.0,150.0,mastercard,117.0,debit,315.0,87.0,14.0,gmail.com,,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,36.0,2.0,85.0,85.0,3.0,122.0,3.0,0.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,110.0,70.0,0.0,110.0
461,7.0,94083,S,10616,583.0,150.0,visa,226.0,credit,299.0,87.0,,,gmail.com,5.0,7.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,14.0,3.0,0.0,79.0,5.0,352.0,352.0,3.0,,,,,310.0,22.0,0.0,302.0,22.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,270.0,22.0,0.0,270.0
2189,5.0,143715,S,10616,583.0,150.0,visa,226.0,credit,299.0,87.0,,,gmail.com,5.0,7.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,14.0,3.0,0.0,80.0,5.0,352.0,352.0,1.0,,,,,317.0,29.0,7.0,309.0,29.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,277.0,29.0,7.0,277.0
1692,161.0,137729,W,6174,490.0,150.0,visa,226.0,debit,387.0,87.0,,yahoo.com,,3.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,0.0,7.0,3.0,244.0,112.0,107.0,112.0,107.0,244.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
8146,82.775,248541,C,15885,545.0,185.0,visa,138.0,debit,,,,hotmail.com,hotmail.com,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
8764,54.62,257634,C,11194,555.0,214.0,mastercard,137.0,credit,,,,anonymous.com,anonymous.com,2.0,8.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,54.61970138549805,54.61970138549805,0.0,0.0
1851,117.0,139844,W,13234,298.0,150.0,visa,226.0,debit,204.0,87.0,,yahoo.com,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
4397,35.0,165239,H,7757,514.0,150.0,mastercard,224.0,credit,512.0,87.0,,gmail.com,gmail.com,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1835,150.0,139671,W,15007,583.0,150.0,visa,226.0,credit,327.0,87.0,,anonymous.com,,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,8.0,2.0,421.0,421.0,60.0,421.0,60.0,421.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
958,60.0,109625,W,7919,194.0,150.0,mastercard,202.0,debit,337.0,87.0,,yahoo.com,,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,10.0,3.0,28.0,28.0,0.0,435.0,0.0,27.0,,84.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,161.0,77.0,0.0,84.0
335,100.0,91804,R,9500,321.0,150.0,visa,226.0,debit,251.0,87.0,,gmail.com,anonymous.com,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0
1418,108.5,133379,W,7664,490.0,150.0,visa,226.0,debit,204.0,87.0,739.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,,,,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
1339,25.0,131595,S,14259,111.0,150.0,visa,226.0,debit,330.0,87.0,,,yahoo.com,3.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,9.0,1.0,0.0,8.0,2.0,455.0,455.0,,,,,,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0
9001,117.0,261924,W,10856,268.0,150.0,visa,166.0,debit,315.0,87.0,18.0,gmail.com,,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,9.0,1.0,164.0,164.0,0.0,163.0,30.0,163.0,163.0,59.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,108.0,49.0,49.0,108.0
9134,226.0,263924,W,7585,553.0,150.0,visa,226.0,credit,472.0,87.0,,comcast.net,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,474.0,474.0,473.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
6252,75.0,209974,W,13597,198.0,150.0,visa,226.0,debit,191.0,87.0,,gmail.com,,92.0,73.0,0.0,0.0,135.0,71.0,0.0,0.0,57.0,0.0,65.0,0.0,450.0,75.0,398.0,398.0,8.0,475.0,8.0,169.0,,185.0,0.0,0.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,185.0,0.0,0.0,185.0
8279,50.0,250809,W,4115,568.0,150.0,visa,226.0,debit,330.0,87.0,,verizon.net,,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,17.0,1.0,165.0,165.0,32.0,,,145.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
7807,59.0,244230,W,11892,,150.0,mastercard,223.0,debit,498.0,87.0,1.0,gmail.com,,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0,3.0,9.0,9.0,3.0,,,41.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,205.0,146.0,0.0,205.0
9515,150.0,273193,W,11157,215.0,150.0,visa,226.0,debit,204.0,87.0,,hotmail.com,,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,145.0,,220.0,220.0,0.0,220.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,,360.0,360.0,0.0,220.0
4190,41.5,162926,W,7680,360.0,150.0,mastercard,229.0,debit,272.0,87.0,,icloud.com,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
6062,60.0,190214,W,10186,417.0,150.0,visa,226.0,debit,325.0,87.0,,,,15.0,12.0,0.0,0.0,14.0,14.0,0.0,0.0,11.0,0.0,11.0,0.0,44.0,13.0,42.0,42.0,7.0,,,38.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,250.0,60.0,0.0,250.0
673,10.0,99189,W,10112,360.0,150.0,visa,166.0,debit,204.0,87.0,4.0,yahoo.com,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,48.0,48.0,24.0,47.0,24.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.0,0.0,0.0,30.0
8501,25.0,254004,W,1720,294.0,150.0,visa,226.0,debit,315.0,87.0,6.0,hotmail.com,,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,3.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
9993,50.0,313044,H,3998,399.0,150.0,american express,223.0,credit,337.0,87.0,,yahoo.com,gmail.com,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
795,10.755,102630,C,4461,375.0,185.0,mastercard,224.0,debit,,,,gmail.com,gmail.com,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
6830,60.0,231231,W,11839,490.0,150.0,visa,226.0,debit,512.0,87.0,,gmail.com,,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,52.0,52.0,52.0,52.0,5.0,52.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020,160.95,141613,W,10838,143.0,150.0,visa,226.0,debit,205.0,87.0,4.0,,,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,10.0,2.0,0.0,,,,,120.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2233,57.95,144120,W,4436,174.0,150.0,visa,183.0,debit,330.0,87.0,,gmail.com,,1.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,56.0,56.0,16.0,0.0,,56.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,119.8499984741211,0.0,0.0,88.9000015258789
8706,460.87,256724,W,11987,216.0,150.0,visa,226.0,credit,337.0,87.0,1157.0,hotmail.com,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
5674,58.95,179814,W,12035,360.0,150.0,mastercard,224.0,debit,485.0,87.0,,outlook.com,,3.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,15.0,2.0,130.0,130.0,79.0,,,152.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
8827,92.0,258486,W,4077,390.0,150.0,mastercard,117.0,debit,315.0,87.0,14.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
5421,23.443,176156,C,15885,545.0,185.0,visa,138.0,debit,,,,hotmail.com,hotmail.com,1.0,3.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,51.0,51.0,10.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,75.64579772949219,0.0,0.0,75.64579772949219
3482,65.254,155934,C,15885,545.0,185.0,visa,138.0,debit,,,,hotmail.com,hotmail.com,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
8467,150.0,253519,W,15142,512.0,150.0,mastercard,224.0,debit,170.0,87.0,,gmail.com,,4.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,4.0,0.0,56.0,4.0,148.0,114.0,11.0,,,257.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,800.0,0.0,0.0,800.0
4775,100.0,169286,H,10486,514.0,150.0,mastercard,219.0,credit,225.0,87.0,,gmail.com,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8663,100.0,256095,W,10895,167.0,150.0,visa,226.0,debit,485.0,87.0,,gmail.com,,5.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,8.0,4.0,236.0,236.0,8.0,,,48.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,0.0,0.0,100.0
3842,100.0,159587,R,8684,117.0,150.0,visa,226.0,debit,315.0,87.0,,gmail.com,gmail.com,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7601,39.0,241699,W,17131,111.0,150.0,mastercard,224.0,debit,264.0,87.0,,gmail.com,,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,,,,,169.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
4098,117.0,162139,W,18132,567.0,150.0,mastercard,117.0,debit,441.0,87.0,0.0,gmail.com,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
4640,90.0,167718,W,12361,321.0,150.0,visa,226.0,debit,204.0,87.0,157.0,yahoo.com,,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,9.0,1.0,95.0,95.0,4.0,42.0,4.0,42.0,95.0,516.0,226.0,0.0,516.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,,516.0,226.0,0.0,516.0
2107,52.5,142743,W,7669,455.0,150.0,mastercard,126.0,debit,299.0,87.0,12.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
251,100.0,90365,W,10057,225.0,150.0,mastercard,224.0,debit,315.0,87.0,,,,7.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,4.0,0.0,18.0,7.0,10.0,10.0,0.0,,,10.0,,246.97000122070312,100.0,0.0,146.97000122070312,0.0,0.0,0.0,0.0,100.0,100.0,100.0,,246.97000122070312,100.0,0.0,146.97000122070312
3704,10.0,158071,S,8732,360.0,150.0,mastercard,229.0,debit,441.0,87.0,,,gmail.com,35.0,29.0,0.0,21.0,0.0,5.0,0.0,38.0,0.0,58.0,24.0,0.0,54.0,5.0,19.0,,,,,,,40.0,40.0,0.0,0.0,0.0,30.0,30.0,30.0,10.0,10.0,10.0,0.0,65.0,30.0,0.0,0.0
7646,25.0,242241,W,13674,555.0,150.0,visa,226.0,debit,444.0,87.0,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,33.0,33.0,12.0,,,33.0,,41.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,41.0,0.0,0.0,41.0
6060,100.0,190146,W,4272,111.0,150.0,visa,226.0,debit,299.0,87.0,,gmail.com,,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,12.0,1.0,239.0,239.0,6.0,238.0,6.0,238.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,189.9499969482422,42.0,0.0,189.9499969482422
6850,26.5,231523,W,5433,555.0,150.0,visa,166.0,debit,324.0,87.0,,yahoo.com,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
4513,107.95,166378,W,7919,194.0,150.0,mastercard,166.0,debit,433.0,87.0,15.0,,,5.0,8.0,0.0,0.0,5.0,3.0,0.0,0.0,4.0,0.0,5.0,0.0,12.0,4.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
1650,212.0,137022,W,17400,174.0,150.0,visa,226.0,debit,181.0,87.0,6.0,anonymous.com,,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,6.0,2.0,17.0,17.0,0.0,22.0,0.0,17.0,13.0,400.0,400.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,0.0,,898.0,697.0,0.0,188.0
1891,150.0,140382,W,13108,215.0,150.0,visa,226.0,debit,191.0,87.0,,gmail.com,,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,10.0,2.0,74.0,74.0,13.0,27.0,13.0,74.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,441.0,0.0,0.0,441.0
4731,107.95,168786,W,2803,100.0,150.0,visa,226.0,debit,494.0,87.0,8.0,aol.com,,3.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,5.0,3.0,32.0,32.0,13.0,,,32.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,57.95000076293945,0.0,0.0,57.95000076293945
5795,100.0,182397,W,2772,512.0,150.0,visa,226.0,debit,143.0,87.0,,gmail.com,,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,2.0,0.0,25.0,2.0,154.0,136.0,2.0,187.0,2.0,2.0,,366.0,366.0,0.0,0.0,0.0,0.0,366.0,366.0,0.0,0.0,0.0,,1538.0,696.0,0.0,811.0
7636,47.95,242112,W,2646,449.0,150.0,visa,166.0,debit,264.0,87.0,7.0,gmail.com,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
3887,1877.07,160093,W,9043,170.0,150.0,visa,195.0,credit,264.0,87.0,,hotmail.com,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
7146,117.0,235462,W,5653,429.0,150.0,visa,226.0,debit,204.0,87.0,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
5156,117.0,173265,W,12932,361.0,150.0,visa,226.0,debit,204.0,87.0,,yahoo.com,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
3921,93.95,160414,W,9992,455.0,150.0,mastercard,126.0,debit,205.0,87.0,,yahoo.com,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
1562,105.0,135616,W,1675,174.0,150.0,visa,226.0,debit,123.0,87.0,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,1.0,58.0,58.0,13.0,,,58.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,110.0,0.0,0.0,110.0
8109,5.0,248024,S,1675,174.0,150.0,visa,226.0,debit,330.0,87.0,,,comcast.net,10.0,5.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,8.0,4.0,0.0,186.0,8.0,304.0,304.0,,,,307.0,,195.0,70.0,10.0,195.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,70.0,10.0,205.0
3570,77.95,156861,W,9048,420.0,150.0,mastercard,224.0,debit,143.0,87.0,,,,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,3.0,137.0,137.0,0.0,,,416.0,,233.8500061035156,233.8500061035156,0.0,0.0,0.0,0.0,0.0,0.0,233.8500061035156,233.8500061035156,233.8500061035156,,233.8500061035156,233.8500061035156,0.0,0.0
1247,280.0,129059,W,7207,111.0,150.0,visa,226.0,debit,204.0,87.0,,att.net,,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,11.0,1.0,454.0,454.0,31.0,454.0,31.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
1731,100.0,138269,W,13481,199.0,150.0,mastercard,224.0,debit,325.0,87.0,,aol.com,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,1.0,193.0,193.0,7.0,193.0,7.0,193.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,400.0,100.0,0.0,400.0
